Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,flow_obs,water_temp_c_obs,conductivity_obs,nitrate_obs,inorganic_phosphorus_obs,pathogen_obs,const_ii_obs,alkalinity_obs,pH_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
179.120525,144.06635,3.855009,4.015258,0.036357,10.361371,3340.29647,2668.753158,1121.438389,220.919738,533.295082,16.970573,3.694031,28.817507,0.122169,2.943972,0.0,6.847941,7130.488018,754.214819,6009.049628,20.825583,28.658066,6.929417,19.0361,3.05667,0.81315,10.69591,8.6974,0.35145,17.72197,,,,,,,,,,,,,,,
180.552558,144.37802,3.874081,4.042123,0.036595,9.997956,3351.553926,2688.773213,1123.410997,227.072958,534.433412,17.495769,3.6999,28.931695,0.124611,2.942052,0.0,6.826864,7163.738136,761.50637,6040.327139,21.36985,28.859999,6.71586,19.1657,2.59437,0.75562,10.60127,8.01051,0.32387,17.63804,,,,,,,,,,,,,,,
181.984591,113.374568,3.762681,4.105703,0.040603,9.181746,2368.105526,3066.941636,823.267317,252.40383,856.206861,13.758018,3.663127,25.994116,0.248245,2.815542,0.0,7.243265,6258.314479,1108.610691,5435.047162,17.520699,24.025976,13.634988,14.1009,2.59478,0.75567,10.60136,8.01115,0.3239,17.58686,7.431,21.225,173.5,3999.0,410.5,4.012415374762433,2.7792356316758635,23.48,7.34,31.0,4.525,9.5,4200.0,750.0,630.0
183.416624,114.616532,3.83021,3.992694,0.041467,8.962361,2404.849851,3147.894261,830.308246,264.929699,871.413985,14.447153,3.672854,26.392643,0.257081,2.808881,0.0,7.228252,6383.052358,1136.343684,5552.744112,18.277363,24.548964,13.635619,14.2125,2.59478,0.75567,10.60136,8.01115,0.3239,17.58686,,,,,,,,,,,,,,,
184.848657,115.870446,3.898368,3.870523,0.04234,8.708086,2441.900898,3229.610034,837.396851,278.00268,886.31512,15.172299,3.682686,26.795695,0.266006,2.802188,0.0,7.211167,6508.907783,1164.3178,5671.510932,19.070666,25.075819,13.569247,14.327,2.59776,0.75606,10.60202,8.01576,0.32408,17.48452,,,,,,,,,,,,,,,
186.28069,117.134933,3.967081,3.737333,0.043219,8.41612,2479.222083,3311.995045,844.530026,291.640886,900.862173,15.935156,3.692618,27.202862,0.27501,2.79547,0.0,7.191916,6635.747154,1192.503059,5791.217128,19.902237,25.605568,13.433748,14.4444,2.59776,0.75606,10.60202,8.01576,0.32408,17.48452,,,,,,,,,,,,,,,
187.712723,118.409453,4.03632,3.590731,0.044106,8.083279,2516.801638,3395.009886,851.710723,305.872561,915.015631,16.738043,3.702651,27.613997,0.284088,2.788727,0.0,7.170409,6763.522247,1220.888192,5911.811524,20.774363,26.13752,13.228702,14.5647,2.59971,0.75631,10.60245,8.01878,0.3242,17.43338,2.78,16.3,182.5,1796.0,580.0,3.7129021250472225,3.0803739167013093,28.0,7.095,16.0,4.495,5.0,5300.0,1670.0,590.0
191.215371,119.694024,4.106087,3.427657,0.045,7.705936,2554.644265,3478.651519,858.946801,320.734534,928.739835,17.583829,3.71279,28.02913,0.293242,2.781959,0.0,7.146568,6892.242585,1249.474368,6033.295784,21.689916,26.671136,12.955397,14.6882,2.60062,1.26208,10.44504,13.18246,0.19728,17.05519,2.11091,17.0,160.0,1867.0,530.0,4.161323072895634,3.5855171277271247,45.7,6.8,26.15,2.6,7.25,2700.0,1510.0,620.0
196.788634,127.229224,4.505498,2.912413,0.050049,9.709495,2796.40814,4017.133368,903.294171,385.026249,1047.783464,19.478067,3.776838,30.55857,0.352378,2.738549,0.0,7.115995,7716.835679,1432.809713,6813.541508,23.983564,30.717943,14.465658,15.1594,2.60062,1.26208,10.44504,13.18246,0.19728,17.05519,,,,,,,,,,,,,,,
202.361896,135.728859,4.971209,2.603035,0.055997,12.485834,3047.766496,4572.394257,951.864877,457.345895,1165.634306,21.81278,3.845629,33.245234,0.413033,2.694787,0.0,7.08708,8572.02563,1622.980201,7620.160753,26.783989,36.012383,16.04784,15.6829,2.60027,1.26205,10.44489,13.18202,0.19726,16.72822,1.795,17.55,160.0,1680.0,550.0,4.204119982655925,3.7129021250472225,35.6,7.185,18.0,4.300000000000001,6.0,6720.0,3285.0,590.0
