Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
184.848657,112.392026,3.05487,0.05014,0.033618,15.812155,2037.272049,2386.169907,675.774194,448.288503,420.786439,11.616651,0.432849,28.547654,0.17613,2.708258,0.0,7.560623,5099.216151,869.074942,4423.441956,14.671521,28.345289,26.695903,16.6174,3.06176,0.81376,10.69688,8.70467,0.35174,22.08975,,,,,,,
186.28069,113.227888,3.099833,0.048689,0.034196,16.039597,2061.141086,2438.979832,681.888919,458.962632,428.263602,11.822547,0.504635,28.81441,0.18206,2.704176,0.0,7.532692,5182.009837,887.226234,4500.120918,14.922381,28.794853,25.717967,16.6752,3.06176,0.81376,10.69688,8.70467,0.35174,22.08975,,,,,,,
187.712723,114.073487,3.145323,0.046671,0.03478,16.268603,2085.297508,2492.324422,688.09064,469.771747,435.819939,12.03185,0.588789,29.084194,0.18806,2.700048,0.0,7.503222,5265.712569,905.591686,4577.62193,15.177173,29.249654,24.686963,16.7348,3.06371,0.81399,10.69725,8.70745,0.35185,22.04263,16.3,16.0,4.495,5.0,5300.0,1670.0,590.0
191.216103,114.92891,3.191344,0.026411,0.035372,16.49905,2109.744599,2546.20031,694.387167,480.717454,443.455483,12.244698,0.689948,29.35699,0.194131,2.695871,0.0,7.472218,5350.332076,924.172936,4655.944909,15.436041,29.709716,23.612916,16.7962,3.06371,1.29143,10.6244,13.7207,0.22329,21.99552,17.0,26.15,2.6,7.25,2700.0,1510.0,620.0
196.790828,115.965075,3.899442,0.015927,0.042302,20.011186,2479.940947,3216.652531,771.901359,630.995677,566.256149,14.870448,0.903758,28.136388,0.273235,2.784968,0.0,7.345186,6468.494837,1197.251826,5696.593478,18.76989,36.05409,22.783606,17.0279,2.60062,1.26208,10.44504,13.18246,0.19728,21.70656,,,,,,,
202.365554,123.381435,4.303362,0.034342,0.047466,22.013379,2693.98388,3679.649081,827.173706,727.563759,632.876546,16.736066,1.672567,30.520071,0.325871,2.74868,0.0,7.272892,7200.806667,1360.440306,6373.632961,21.039428,40.068852,22.293808,17.1782,2.60027,1.26205,10.44489,13.18202,0.19726,21.3795,17.55,18.0,4.300000000000001,6.0,6720.0,3285.0,590.0
207.94028,337.975002,15.503627,0.011555,0.197633,100.237457,8828.395578,18228.022157,1838.128181,3596.206135,2671.034681,47.794075,0.097044,104.069928,1.910111,2.587173,0.0,8.326985,28894.545916,6267.240816,27056.417735,63.297702,151.861515,1110.64935,16.3493,0.5196,1.00684,8.8357,8.89611,0.05841,21.05241,18.85,39.5,5.1,30.0,34400.0,19600.0,13960.0
213.515005,468.95224,22.811489,0.011414,0.290934,143.865227,12701.536582,26673.616183,2650.554465,5398.839353,3862.709446,74.036947,0.235599,146.989723,2.906474,1.899635,0.0,8.314948,42025.70723,9261.548799,39375.152765,96.848436,223.819916,1600.279272,16.583,0.51339,1.00514,8.82468,8.87005,0.05788,19.94771,17.5,110.5,0.26,143.0,55400.0,36650.0,5500.0
219.089731,605.351959,30.138989,0.011355,0.385099,181.590845,16582.543866,35504.632179,3524.79083,7203.395608,5018.949989,106.364149,0.619008,191.150956,3.874991,1.230923,0.0,8.233677,55611.966875,12222.345597,52087.176045,136.503138,296.423768,1831.592145,16.9911,0.51339,1.00514,8.82468,8.87005,0.05788,17.71816,18.1,87.0,1.1,105.0,52100.0,38950.0,10880.0
224.664456,706.789712,35.564155,0.011327,0.454814,198.215511,19554.510736,42195.174973,4310.918166,8627.216078,5786.390345,141.228956,1.430622,223.446291,4.591931,0.731985,0.0,8.075339,66060.603875,14413.606423,61749.685709,176.793111,350.632682,1605.552856,17.6298,0.52167,1.0074,8.83936,8.90475,0.05858,16.60338,17.25,40.0,2.5,44.0,20200.0,11350.0,1710.0
230.239182,756.368164,38.181982,0.017255,0.488448,186.013663,21149.933395,45533.943759,4924.199838,9458.825666,6010.921396,177.555044,3.068052,238.305317,4.93769,0.485847,0.0,7.832919,71608.076992,15469.747062,66683.877154,215.737026,377.551339,1079.632058,18.5865,0.059,0.742,7.04815,5.2297,0.01128,15.502,19.4,162.0,0.66,171.0,54500.0,48600.0,9530.0
235.813908,113.318688,0.937107,0.035452,0.009425,4.901556,1240.021592,749.638919,613.739829,157.159057,166.627008,2.921254,0.077391,28.812546,0.0,3.456399,0.0,7.673015,2603.400341,323.786065,1989.660512,3.858361,8.05425,10.29075,16.0464,0.029,0.67162,6.54676,4.39696,0.0066,9.78281,18.4,15.0,3.2,22.0,8960.0,6850.0,1200.0
241.388633,61.0,0.824996,0.036521,0.008377,4.453731,1317.259306,674.782973,398.280224,206.561949,168.435316,2.510678,0.106792,13.419012,0.0,3.89487,0.0,7.540211,2390.322503,374.997265,1992.042279,3.335674,7.163597,6.851754,16.0592,0.029,0.67162,6.54676,4.39696,0.0066,9.78281,17.6,5.5,6.2,2.5,2000.0,625.0,375.0
244.175996,61.0,0.825,6.2,0.008377,2.5,1375.0,625.0,515.1,225.0,150.0,4.675,4.304059,12.86,0.0,3.89487,0.0,7.1,2515.1,375.0,2000.0,5.5,7.538677,2.598102,17.6,0.029,0.67162,6.54676,4.39696,0.0066,0.0,17.6,5.5,6.2,2.5,2000.0,625.0,375.0
